"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2017",31,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2018",31,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2019",31,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2020",31,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2021",15,
"AUS","WORKEXPOV","SNGLNOCHLD","HR_MINWAGE","A","2022",32,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2001",0,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2002",1,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2003",2,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2004",0,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2005",8,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2006",20,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2007",22,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2008",29,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2009",23,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2010",22,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2011",26,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2012",29,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2013",25,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2014",25,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2015",23,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2016",22,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2017",28,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2018",31,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2019",34,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2020",37,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2021",11,
"AUS","WORKEXPOV","UNEMP_COUPL2CHLD","HR_MINWAGE","A","2022",38,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2001",30,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2002",30,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2003",29,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2004",28,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2005",26,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2006",26,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2007",29,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2008",32,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2009",30,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2010",31,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2011",31,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2012",31,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2013",32,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2014",32,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2015",31,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2016",31,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2017",31,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2018",31,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2019",29,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2020",30,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2021",29,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2022",32,
"AUT","WORKEXPOV","SNGL2CHLD","HR_67PC_AVEWAGE","A","2023",32,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2001",22,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2002",22,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2003",22,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2004",22,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2005",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_67PC_AVEWAGE","A","2006",21,
